iter	Passed	Remaining
861	27534	18654
862	27569	18624
863	27599	18591
864	27630	18558
865	27664	18528
866	27693	18493
867	27722	18460
868	27754	18428
869	27783	18394
870	27813	18361
871	27844	18329
872	27876	18297
873	27907	18264
874	27940	18233
875	27972	18201
876	28000	18166
877	28030	18133
878	28061	18101
879	28092	18068
880	28124	18036
881	28156	18004
882	28187	17972
883	28218	17939
884	28250	17907
885	28282	17876
886	28312	17842
887	28344	17811
888	28375	17778
889	28405	17745
890	28437	17713
891	28468	17681
892	28498	17648
893	28530	17615
894	28562	17584
895	28592	17551
896	28621	17517
897	28650	17483
898	28681	17451
899	28714	17420
900	28749	17390
901	28780	17357
902	28811	17325
903	28842	17292
904	28872	17259
905	28903	17227
906	28936	17195
907	28966	17163
908	28998	17130
909	29029	17098
910	29058	17065
911	29090	17033
912	29122	17001
913	29153	16969
914	29186	16937
915	29220	16906
916	29251	16874
917	29282	16842
918	29315	16810
919	29345	16778
920	29377	16745
921	29408	16713
922	29439	16681
923	29475	16651
924	29507	16619
925	29552	16595
926	29588	16565
927	29620	16533
928	29650	16500
929	29682	16469
930	29712	16435
931	29744	16404
932	29776	16372
933	29804	16338
934	29835	16306
935	29866	16273
936	29898	16241
937	29931	16210
938	29964	16178
939	29993	16145
940	30026	16113
941	30056	16081
942	30085	16047
943	30118	16016
944	30150	15984
945	30181	15951
946	30214	15920
947	30245	15888
948	30277	15856
949	30308	15824
950	30337	15790
951	30369	15759
952	30400	15726
953	30432	15694
954	30463	15662
955	30494	15630
956	30526	15598
957	30559	15566
958	30594	15536
959	30627	15504
960	30660	15473
961	30692	15441
962	30725	15410
963	30758	15379
964	30788	15346
965	30819	15314
966	30853	15282
967	30884	15250
968	30918	15219
969	30949	15187
970	30981	15155
971	31014	15124
972	31046	15092
973	31077	15060
974	31111	15029
975	31143	14997
976	31173	14964
977	31206	14933
978	31239	14901
979	31271	14869
980	31304	14838
981	31337	14807
982	31371	14776
983	31404	14744
984	31437	14713
985	31469	14681
986	31503	14650
987	31538	14619
988	31569	14587
989	31602	14556
990	31635	14524
991	31667	14492
992	31697	14460
993	31728	14428
994	31761	14396
995	31792	14363
996	31821	14330
997	31852	14298
998	31882	14265
999	31914	14233
1000	31944	14200
1001	31973	14168
1002	32006	14136
1003	32036	14103
1004	32068	14071
1005	32101	14040
1006	32139	14011
1007	32177	13981
1008	32209	13949
1009	32241	13918
1010	32275	13887
1011	32307	13855
1012	32337	13822
1013	32373	13792
1014	32406	13760
1015	32440	13729
1016	32471	13697
1017	32504	13666
1018	32538	13634
1019	32569	13602
1020	32598	13569
1021	32629	13537
1022	32661	13505
1023	32690	13472
1024	32725	13441
1025	32754	13408
1026	32789	13377
1027	32819	13344
1028	32848	13311
1029	32880	13279
1030	32913	13248
1031	32945	13216
1032	32978	13184
1033	33009	13152
1034	33041	13120
1035	33072	13088
1036	33103	13056
1037	33134	13023
1038	33166	12992
1039	33198	12960
1040	33231	12928
1041	33265	12897
1042	33294	12864
1043	33326	12832
1044	33356	12800
1045	33388	12768
1046	33420	12736
1047	33451	12703
1048	33480	12670
1049	33511	12638
1050	33544	12607
1051	33575	12575
1052	33606	12542
1053	33640	12511
1054	33671	12479
1055	33700	12446
1056	33732	12414
1057	33762	12381
1058	33797	12351
1059	33829	12319
1060	33858	12286
1061	33889	12253
1062	33919	12221
1063	33953	12190
1064	33984	12157
1065	34017	12126
1066	34050	12094
1067	34080	12062
1068	34112	12030
1069	34143	11998
1070	34174	11965
1071	34204	11933
1072	34236	11901
1073	34267	11869
1074	34298	11837
1075	34328	11804
1076	34360	11772
1077	34393	11740
1078	34424	11708
1079	34456	11676
1080	34487	11644
1081	34521	11613
1082	34552	11581
1083	34584	11549
1084	34614	11517
1085	34646	11485
1086	34679	11453
1087	34710	11421
1088	34741	11389
1089	34774	11357
1090	34807	11325
1091	34838	11293
1092	34871	11262
1093	34902	11230
1094	34933	11197
1095	34963	11165
1096	34994	11133
1097	35024	11100
1098	35055	11068
1099	35087	11036
1100	35118	11004
1101	35153	10973
1102	35185	10941
1103	35216	10909
1104	35247	10877
1105	35278	10845
1106	35309	10812
1107	35339	10780
1108	35370	10748
1109	35400	10715
1110	35431	10683
1111	35461	10651
1112	35491	10618
1113	35527	10588
1114	35559	10556
1115	35591	10524
1116	35622	10492
1117	35653	10460
1118	35684	10427
1119	35715	10395
1120	35747	10364
1121	35780	10332
1122	35815	10301
1123	35843	10268
1124	35875	10236
1125	35909	10205
1126	35939	10172
1127	35971	10140
1128	36002	10108
1129	36033	10076
1130	36063	10044
1131	36095	10012
1132	36127	9980
1133	36160	9949
1134	36192	9917
1135	36224	9885
1136	36257	9853
1137	36290	9821
1138	36320	9789
1139	36353	9757
1140	36385	9726
1141	36417	9694
1142	36449	9662
1143	36482	9630
1144	36514	9598
1145	36545	9566
1146	36575	9534
1147	36607	9502
1148	36641	9471
1149	36675	9439
1150	36707	9408
1151	36738	9376
1152	36769	9343
1153	36804	9312
1154	36838	9281
1155	36870	9249
1156	36901	9217
1157	36934	9185
1158	36965	9153
1159	36998	9122
1160	37031	9090
1161	37063	9058
1162	37097	9027
1163	37131	8995
1164	37162	8963
1165	37195	8932
1166	37226	8899
1167	37258	8867
1168	37291	8836
1169	37323	8804
1170	37355	8772
1171	37390	8741
1172	37419	8708
1173	37452	8677
1174	37484	8645
1175	37517	8613
1176	37550	8582
1177	37581	8550
1178	37612	8517
1179	37643	8485
1180	37676	8454
1181	37707	8422
1182	37739	8390
1183	37770	8357
1184	37800	8325
1185	37835	8294
1186	37868	8262
1187	37897	8230
1188	37930	8198
1189	37957	8165
1190	37987	8133
1191	38020	8101
1192	38053	8069
1193	38086	8038
1194	38118	8006
1195	38146	7973
1196	38177	7941
1197	38210	7909
1198	38241	7877
1199	38271	7845
1200	38303	7813
1201	38336	7782
1202	38366	7749
1203	38397	7717
1204	38426	7685
1205	38455	7652
1206	38489	7621
1207	38523	7589
1208	38555	7558
1209	38589	7526
1210	38621	7494
1211	38652	7462
1212	38683	7430
1213	38715	7398
1214	38746	7366
1215	38778	7334
1216	38809	7302
1217	38845	7271
1218	38879	7239
1219	38908	7207
1220	38939	7175
1221	38972	7143
1222	39003	7111
1223	39034	7079
1224	39065	7047
1225	39098	7016
1226	39128	6983
1227	39161	6952
1228	39192	6920
1229	39224	6888
1230	39255	6856
1231	39286	6824
1232	39319	6792
1233	39353	6760
1234	39386	6729
1235	39416	6696
1236	39448	6665
1237	39479	6633
1238	39511	6601
1239	39543	6569
1240	39575	6537
1241	39608	6505
1242	39638	6473
1243	39669	6441
1244	39697	6408
1245	39730	6377
1246	39762	6345
1247	39793	6313
1248	39826	6281
1249	39859	6250
1250	39889	6217
1251	39920	6185
1252	39950	6153
1253	39981	6121
1254	40011	6089
1255	40043	6057
1256	40074	6025
1257	40107	5993
1258	40140	5962
1259	40172	5930
1260	40202	5898
1261	40232	5865
1262	40263	5833
1263	40295	5801
1264	40327	5770
1265	40360	5738
1266	40391	5706
1267	40424	5674
1268	40455	5642
1269	40484	5610
1270	40518	5578
1271	40550	5547
1272	40581	5515
1273	40612	5483
1274	40644	5451
1275	40676	5419
1276	40707	5387
1277	40737	5355
1278	40769	5323
1279	40801	5291
1280	40828	5258
1281	40862	5227
1282	40893	5195
1283	40924	5163
1284	40956	5131
1285	40986	5099
1286	41017	5067
1287	41049	5035
1288	41079	5003
1289	41107	4971
1290	41138	4939
1291	41169	4907
1292	41198	4875
1293	41228	4842
1294	41261	4811
1295	41291	4779
1296	41322	4747
1297	41355	4715
1298	41388	4683
1299	41419	4651
1300	41449	4619
1301	41482	4587
1302	41514	4556
1303	41545	4524
1304	41564	4490
1305	41592	4458
1306	41627	4427
1307	41658	4395
1308	41689	4363
1309	41722	4331
1310	41756	4299
1311	41790	4268
1312	41823	4236
1313	41856	4204
1314	41886	4172
1315	41916	4140
1316	41948	4108
1317	41980	4077
1318	42012	4045
1319	42044	4013
1320	42079	3981
1321	42110	3949
1322	42140	3917
1323	42173	3886
1324	42205	3854
1325	42238	3822
1326	42270	3790
1327	42302	3758
1328	42331	3726
1329	42361	3694
1330	42393	3662
1331	42426	3631
1332	42462	3599
1333	42495	3567
1334	42529	3536
1335	42562	3504
1336	42596	3472
1337	42627	3440
1338	42658	3408
1339	42690	3377
1340	42723	3345
1341	42755	3313
1342	42787	3281
1343	42820	3249
1344	42855	3218
1345	42888	3186
1346	42920	3154
1347	42951	3122
1348	42983	3090
1349	43014	3058
1350	43043	3026
1351	43079	2995
1352	43110	2963
1353	43143	2931
1354	43176	2899
1355	43209	2867
1356	43242	2836
1357	43272	2804
1358	43305	2772
1359	43338	2740
1360	43371	2708
1361	43404	2676
1362	43438	2645
1363	43472	2613
1364	43505	2581
1365	43536	2549
1366	43568	2517
1367	43604	2486
1368	43636	2454
1369	43667	2422
1370	43699	2390
1371	43731	2358
1372	43762	2326
1373	43795	2294
1374	43826	2263
1375	43857	2231
1376	43897	2199
1377	43928	2167
1378	43961	2135
1379	43993	2104
1380	44022	2072
1381	44051	2040
1382	44082	2008
1383	44114	1976
1384	44145	1944
1385	44177	1912
1386	44208	1880
1387	44238	1848
1388	44269	1816
1389	44300	1784
1390	44333	1752
1391	44365	1721
1392	44397	1689
1393	44428	1657
1394	44460	1625
1395	44492	1593
1396	44525	1561
1397	44557	1529
1398	44590	1498
1399	44621	1466
1400	44651	1434
1401	44683	1402
1402	44714	1370
1403	44747	1338
1404	44780	1306
1405	44812	1274
1406	44843	1243
1407	44879	1211
1408	44913	1179
1409	44944	1147
1410	44977	1115
1411	45008	1083
1412	45040	1051
1413	45069	1019
1414	45102	988
1415	45134	956
1416	45166	924
1417	45199	892
1418	45231	860
1419	45262	828
1420	45295	796
1421	45326	765
1422	45358	733
1423	45390	701
1424	45419	669
1425	45453	637
1426	45489	605
1427	45522	573
1428	45554	541
1429	45586	510
1430	45618	478
1431	45651	446
